variante,escenario,tamanio,instancia,repeticion,semilla,algoritmo,tiempo_ms,evaluaciones,F,T_horas,R_horas,N,V,factible,verificada,cumplimiento_pct,cumplimiento_prioritarios_pct,costo,distancia_km,utilizacion_pct,temperatura_inicial
BASE,N025-I02,25,2,13,55,RECOCIDO_SIMULADO,29.6208,4341,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,224.90306
BASE,N025-I02,25,2,13,55,GENETICO,129.3597,9060,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,
BASE,N025-I02,25,2,14,56,GENETICO,168.8786,9060,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,
BASE,N025-I02,25,2,14,56,RECOCIDO_SIMULADO,28.2684,4221,11834.506667,441.673333,113.928333,0,0,true,true,56,15.384615,11452,1652,31.617647,195.2042
BASE,N025-I02,25,2,15,57,RECOCIDO_SIMULADO,29.5925,4341,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,228.545875
BASE,N025-I02,25,2,15,57,GENETICO,124.3601,9060,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,
BASE,N025-I02,25,2,16,58,GENETICO,174.2428,9060,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,
BASE,N025-I02,25,2,16,58,RECOCIDO_SIMULADO,28.5074,4101,11829.493333,436.66,113.928333,0,0,true,true,56,15.384615,10966,1576,31.617647,164.800903
BASE,N025-I02,25,2,17,59,RECOCIDO_SIMULADO,28.1751,4181,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,178.165759
BASE,N025-I02,25,2,17,59,GENETICO,121.8983,9060,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,
BASE,N025-I02,25,2,18,60,GENETICO,143.6395,9060,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,
BASE,N025-I02,25,2,18,60,RECOCIDO_SIMULADO,29.2916,4421,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,248.958177
BASE,N025-I02,25,2,19,61,RECOCIDO_SIMULADO,28.7515,4301,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,212.113737
BASE,N025-I02,25,2,19,61,GENETICO,126.035,9060,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,
BASE,N025-I02,25,2,20,62,GENETICO,122.8629,9060,11824.615,431.781667,113.928333,0,0,true,true,56,15.384615,11596,1690,31.617647,
BASE,N025-I02,25,2,20,62,RECOCIDO_SIMULADO,29.1982,4381,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,233.107551
BASE,N025-I02,25,2,21,63,RECOCIDO_SIMULADO,28.2522,4261,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,197.9206
BASE,N025-I02,25,2,21,63,GENETICO,120.2131,9060,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,
BASE,N025-I02,25,2,22,64,GENETICO,141.5614,9060,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,
BASE,N025-I02,25,2,22,64,RECOCIDO_SIMULADO,28.3244,4221,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,192.162087
BASE,N025-I02,25,2,23,65,RECOCIDO_SIMULADO,28.6854,4141,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,175.586569
BASE,N025-I02,25,2,23,65,GENETICO,149.1477,9060,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,
BASE,N025-I02,25,2,24,66,GENETICO,229.4296,9060,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,
BASE,N025-I02,25,2,24,66,RECOCIDO_SIMULADO,27.6967,4141,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,171.530678
