variante,escenario,tamanio,instancia,repeticion,semilla,algoritmo,tiempo_ms,evaluaciones,F,T_horas,R_horas,N,V,factible,verificada,cumplimiento_pct,cumplimiento_prioritarios_pct,costo,distancia_km,utilizacion_pct,temperatura_inicial
BASE,N025-I02,25,2,14,791,RECOCIDO_SIMULADO,30.2136,4461,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,256.373916
BASE,N025-I02,25,2,15,792,RECOCIDO_SIMULADO,27.7325,4221,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,196.172419
BASE,N025-I02,25,2,15,792,GENETICO,171.7691,9060,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,
BASE,N025-I02,25,2,16,793,GENETICO,138.597,9060,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,
BASE,N025-I02,25,2,16,793,RECOCIDO_SIMULADO,29.0894,4501,11831.05,438.216667,113.928333,0,0,true,true,56,15.384615,10904,1520,31.617647,268.25723
BASE,N025-I02,25,2,17,794,RECOCIDO_SIMULADO,28.9167,4301,11831.498333,438.665,113.928333,0,0,true,true,56,15.384615,11558,1604,31.617647,207.786859
BASE,N025-I02,25,2,17,794,GENETICO,117.632,9060,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,
BASE,N025-I02,25,2,18,795,GENETICO,114.5757,9060,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,
BASE,N025-I02,25,2,18,795,RECOCIDO_SIMULADO,28.033,4261,11833.846667,441.013333,113.928333,0,0,true,true,56,15.384615,10902,1562,31.617647,206.248177
BASE,N025-I02,25,2,19,796,RECOCIDO_SIMULADO,28.6315,4341,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,226.659183
BASE,N025-I02,25,2,19,796,GENETICO,129.9918,9060,11838,431.666667,114.063333,0,0,true,true,56,15.384615,11656,1702,31.617647,
BASE,N025-I02,25,2,20,797,GENETICO,205.3167,9060,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,
BASE,N025-I02,25,2,20,797,RECOCIDO_SIMULADO,27.1891,4221,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,188.0376
BASE,N025-I02,25,2,21,798,RECOCIDO_SIMULADO,27.783,4301,11832.361667,439.528333,113.928333,0,0,true,true,56,15.384615,10408,1460,31.617647,215.605129
BASE,N025-I02,25,2,21,798,GENETICO,187.0593,9060,11841.03,431.696667,114.093333,0,0,true,true,56,15.384615,11648,1702,31.617647,
